iter	RMSE
0	13.67994836
1	13.25841083
2	12.81795264
3	12.41674966
4	12.01189913
5	11.61913585
6	11.24404362
7	10.85635095
8	10.50975954
9	10.16104767
10	9.825643189
11	9.496660863
12	9.20845588
13	8.906291426
14	8.620781686
15	8.333058768
16	8.087818655
17	7.849686191
18	7.593232577
19	7.358863661
20	7.123407753
21	6.907908232
22	6.692862425
23	6.48338561
24	6.289712999
25	6.097347842
26	5.91564704
27	5.728868566
28	5.5556842
29	5.383217288
30	5.218604785
31	5.046853151
32	4.892934815
33	4.737237773
34	4.587981033
35	4.454284013
36	4.323448766
37	4.191999978
38	4.067838935
39	3.953217307
40	3.835543981
41	3.72239226
42	3.610082995
43	3.498512999
44	3.39612686
45	3.290428727
46	3.191762319
47	3.092457819
48	3.000387089
49	2.91623456
50	2.829276752
51	2.744109559
52	2.66112877
53	2.588429374
54	2.51234477
55	2.439196552
56	2.374845914
57	2.308711751
58	2.249165481
59	2.186798198
60	2.123205578
61	2.065581764
62	2.00761396
63	1.951570319
64	1.898597023
65	1.845269283
66	1.797961181
67	1.748015729
68	1.699964072
69	1.655231061
70	1.610876671
71	1.571110778
72	1.531220051
73	1.491909961
74	1.459732596
75	1.421462126
76	1.387173327
77	1.354948108
78	1.323638147
79	1.29581303
80	1.266275839
81	1.238611382
82	1.209512997
83	1.182042863
84	1.155826482
85	1.129562194
86	1.105909433
87	1.082759232
88	1.059603846
89	1.035923058
90	1.014834755
91	0.9945120635
92	0.9746101546
93	0.9577651122
94	0.9400656149
95	0.9238642051
96	0.9052094778
97	0.8884230319
98	0.8716937828
99	0.8547578432
100	0.8381497625
101	0.8231403875
102	0.8086127535
103	0.795976475
104	0.783277717
105	0.7702635588
106	0.7581414426
107	0.7445911637
108	0.7324156834
109	0.7209615451
110	0.7102144438
111	0.6990196978
112	0.6893264782
113	0.6787507522
114	0.6697213853
115	0.6607005199
116	0.6516774368
117	0.6431434158
118	0.6352337357
119	0.6287152689
120	0.6215770873
121	0.6137611594
122	0.607530076
123	0.6016559189
124	0.5943358049
125	0.5881015446
126	0.5835795503
127	0.5814286723
128	0.5753175738
129	0.5699449129
130	0.5644641413
131	0.5617933356
132	0.5565399594
133	0.5515319988
134	0.5488640072
135	0.5439421781
136	0.5385603433
137	0.5342708439
138	0.5291476605
139	0.5259257717
140	0.5220963621
141	0.5205182442
142	0.5168608085
143	0.5112255132
144	0.5097698772
145	0.505926612
146	0.501936618
147	0.4983605662
148	0.4943261152
149	0.4905897966
150	0.4873366309
151	0.4839088449
152	0.4801091585
153	0.4789358436
154	0.4752088118
155	0.474092556
156	0.4708903942
157	0.4696909668
158	0.4657709362
159	0.4646422659
160	0.4623534376
161	0.4608421619
162	0.4583947042
163	0.4573758111
164	0.455741699
165	0.4547610706
166	0.4523424166
167	0.4496123358
168	0.4486698573
169	0.4469046305
170	0.4455407745
171	0.4425314419
172	0.4407020316
173	0.4396721111
174	0.4386338348
175	0.4374872411
176	0.4358857032
177	0.4349928581
178	0.4340266767
179	0.4331871129
180	0.4323376988
181	0.4315354106
182	0.4306414566
183	0.4299666951
184	0.4277226966
185	0.4255889286
186	0.4249862434
187	0.4242970966
188	0.4236318921
189	0.421573432
190	0.4204875268
191	0.4197064763
192	0.4190494168
193	0.4164741567
194	0.413878872
195	0.4118400906
196	0.410897081
197	0.4100791429
198	0.4092276899
199	0.4086300668
200	0.4081236671
201	0.4076724326
202	0.4070995727
203	0.4064859223
204	0.4058865601
205	0.4028426345
206	0.4024260569
207	0.4019511121
208	0.4012799089
209	0.4003972286
210	0.3999458293
211	0.3994977934
212	0.3991024206
213	0.3983778931
214	0.3979614982
215	0.3974735552
216	0.3970709182
217	0.3963296098
218	0.3947943046
219	0.3944137525
220	0.3940403654
221	0.3936740126
222	0.3932491278
223	0.3928342399
224	0.3924906283
225	0.3920931447
226	0.3910062946
227	0.3887302174
228	0.388353366
229	0.3880405957
230	0.3876795817
231	0.3873270624
232	0.3854221113
233	0.3841152652
234	0.3819881751
235	0.3794302079
236	0.3787299845
237	0.3784133513
238	0.3781041645
239	0.3764835632
240	0.3751097849
241	0.3726954661
242	0.3724043992
243	0.3719332747
244	0.3716555756
245	0.3712045202
246	0.3689238966
247	0.3675291173
248	0.3672708603
249	0.3657316684
250	0.3654832556
251	0.3652406907
252	0.3650038306
253	0.3636347216
254	0.3622426855
255	0.3620190151
256	0.3603676707
257	0.3592284794
258	0.3587245109
259	0.3571686612
260	0.3564533772
261	0.3557568299
262	0.3550985842
263	0.3544657826
264	0.3532882433
265	0.3528594205
266	0.3524623
267	0.3520781943
268	0.3517066485
269	0.3506290694
270	0.3500866641
271	0.3498608449
272	0.3493426612
273	0.3480041746
274	0.3476830136
275	0.3471927644
276	0.346476347
277	0.3462695825
278	0.3458132317
279	0.3453997659
280	0.3442051922
281	0.3440243404
282	0.3438478084
283	0.343528188
284	0.343352711
285	0.3429872017
286	0.3426387665
287	0.3424837547
288	0.3416484531
289	0.3408830002
290	0.3396447899
291	0.3393524844
292	0.3391452704
293	0.3388345635
294	0.3386971663
295	0.3385630232
296	0.3384320537
297	0.3376899069
298	0.3369407956
299	0.3356845739
300	0.3355606785
301	0.3354397173
302	0.3353216176
303	0.3352063086
304	0.3350436613
305	0.3349191414
306	0.3336584772
307	0.3330255521
308	0.3328729413
309	0.3318694933
310	0.3313088888
311	0.3300254013
312	0.3293132297
313	0.3292126806
314	0.3281455146
315	0.3280479898
316	0.3275208047
317	0.3274267185
318	0.3273348715
319	0.3266014553
320	0.325429986
321	0.324407825
322	0.3232779623
323	0.3226228423
324	0.3219313826
325	0.3206056318
326	0.3200240181
327	0.3191114472
328	0.319026679
329	0.3182012248
330	0.3168818002
331	0.3163466241
332	0.3153474412
333	0.3144133212
334	0.3143334366
335	0.313312787
336	0.3126848724
337	0.3117924792
338	0.3112836908
339	0.3111610569
340	0.3104018382
341	0.3099336561
342	0.3087987442
343	0.307979706
344	0.3078088558
345	0.3074041025
346	0.306513932
347	0.3055315123
348	0.3052348423
349	0.304589388
350	0.3036658715
351	0.3030903258
352	0.3027899151
353	0.302132268
354	0.301413571
355	0.3006991994
356	0.300218546
357	0.3000898462
358	0.300026202
359	0.299425059
360	0.2986304846
361	0.298181303
362	0.2972399173
363	0.2966140624
364	0.2959745961
365	0.2952124969
366	0.2951469893
367	0.2949454322
368	0.2942313863
369	0.2936277655
370	0.2927754619
371	0.2920567762
372	0.2914491165
373	0.2908457175
374	0.2901863297
375	0.2896510645
376	0.2890265025
377	0.2881786913
378	0.2874547321
379	0.28677738
380	0.2863804119
381	0.2855634612
382	0.2849781623
383	0.2846275276
384	0.2840603484
385	0.2832998655
386	0.2829054472
387	0.2825488342
388	0.2819674333
389	0.2816349329
390	0.2808693197
391	0.2802874943
392	0.2797564035
393	0.2791133646
394	0.2785258028
395	0.2777709039
396	0.2773482126
397	0.2767827476
398	0.2760261216
399	0.2758578375
400	0.2752741774
401	0.274658962
402	0.2745583104
403	0.2738092633
404	0.2732781063
405	0.2727419394
406	0.2722757672
407	0.2716571819
408	0.2710164192
409	0.2708094718
410	0.2704401687
411	0.269820619
412	0.2693609229
413	0.2691668422
414	0.2690077976
415	0.2684970306
416	0.2679936552
417	0.267544991
418	0.2669653986
419	0.2663678977
420	0.2661968169
421	0.265917522
422	0.2657669168
423	0.265271218
424	0.2648941532
425	0.2642150231
426	0.2635859359
427	0.2629706188
428	0.2625072268
429	0.2618851359
430	0.2616438703
431	0.261120988
432	0.2610874571
433	0.2605039665
434	0.2598925197
435	0.2597653479
436	0.2595982536
437	0.2591851216
438	0.2589344381
439	0.2580160059
440	0.2574535876
441	0.2567951873
442	0.2565529939
443	0.2563265468
444	0.2559515998
445	0.2557161919
446	0.2552902337
447	0.2548812627
448	0.2545155921
449	0.2539687668
450	0.253765854
451	0.2531336513
452	0.2527841477
453	0.2524494354
454	0.2522365843
455	0.2517394492
456	0.2511607999
457	0.250669354
458	0.249926132
459	0.2494140678
460	0.2491532124
461	0.2484883189
462	0.2484100191
463	0.2477155045
464	0.247395533
465	0.2469124681
466	0.2464777918
467	0.2458529279
468	0.2457762013
469	0.2452909053
470	0.2451032408
471	0.2445222646
472	0.2442566895
473	0.2436690277
474	0.2432255089
475	0.242817783
476	0.2424176025
477	0.2420854741
478	0.2416976862
479	0.2412550463
480	0.2409242322
481	0.2403717433
482	0.2400613166
483	0.2399466203
484	0.2396713186
485	0.2395952118
486	0.2391584507
487	0.2388386947
488	0.2387845895
489	0.2383320224
490	0.2377982717
491	0.237463093
492	0.2370278363
493	0.2365657601
494	0.2362310391
495	0.235963481
496	0.2354035624
497	0.2350228965
498	0.2346334225
499	0.2343461725
500	0.2338755531
501	0.2336840286
502	0.233355562
503	0.2328313657
504	0.2327356351
505	0.2326640818
506	0.2323501175
507	0.2318518818
508	0.2313278407
509	0.2310157572
510	0.2306349505
511	0.230120706
512	0.2300571982
513	0.229568033
514	0.2291646402
515	0.2286938557
516	0.228285351
517	0.2279911834
518	0.2278267391
519	0.2275372072
520	0.2271007492
521	0.2267094591
522	0.2261396921
523	0.2257180148
524	0.2253645626
525	0.2250747098
526	0.2245458844
527	0.2241818969
528	0.2239330734
529	0.2234890418
530	0.223317151
531	0.2230669766
532	0.2230173029
533	0.2224755798
534	0.2224174104
535	0.2223718491
536	0.2218489711
537	0.221315586
538	0.2207724347
539	0.2205092546
540	0.2204847623
541	0.2201790074
542	0.2198907881
543	0.2198011093
544	0.2194306347
545	0.2190239269
546	0.2186128647
547	0.2182689449
548	0.2178889285
549	0.2174706961
550	0.2170427113
551	0.2167103348
552	0.2163280457
553	0.2159370392
554	0.215886933
555	0.2153822092
556	0.2151991566
557	0.2147553112
558	0.2143595205
559	0.2139909454
560	0.2136369201
561	0.2133600318
562	0.2129669982
563	0.2129516339
564	0.2126557692
565	0.2123659584
566	0.2121730071
567	0.2120985064
568	0.2115241206
569	0.211223673
570	0.2109670493
571	0.2108332108
572	0.2105354414
573	0.2102671563
574	0.2098812281
575	0.2096164588
576	0.2095633604
577	0.2092012489
578	0.208736831
579	0.2083221834
580	0.2080528549
581	0.2080295217
582	0.2076909748
583	0.2073570276
584	0.206963098
585	0.2065684415
586	0.2064304698
587	0.2063717523
588	0.2059959593
589	0.2057242282
590	0.2055689076
591	0.2055133415
592	0.205130439
593	0.2048043092
594	0.2044751894
595	0.2044539816
596	0.2042360484
597	0.2037522463
598	0.2037058037
599	0.2034320819
600	0.2031341129
601	0.2028568007
602	0.202553332
603	0.2022158039
604	0.202077677
605	0.2015709813
606	0.2013628913
607	0.2010826845
608	0.2010331241
609	0.2010058897
610	0.2006467042
611	0.2006038495
612	0.2004616175
613	0.2003175011
614	0.1998709544
615	0.1998295837
616	0.1997815616
617	0.1994425895
618	0.1993040284
619	0.1989939768
620	0.1986799051
621	0.19843785
622	0.1982876644
623	0.1979441887
624	0.1975763183
625	0.19721394
626	0.1968967528
627	0.1964204407
628	0.1959919334
629	0.1957824452
630	0.195614361
631	0.1953520358
632	0.1952496645
633	0.1948520032
634	0.1944523744
635	0.1941937337
636	0.1938953354
637	0.1934467617
638	0.1931281112
639	0.192802473
640	0.1927614166
641	0.1925219183
642	0.1922777873
643	0.1921197151
644	0.192074966
645	0.191759179
646	0.1915211022
647	0.1912851806
648	0.1909087737
649	0.1908025131
650	0.1904280289
651	0.1900535881
652	0.1898207022
653	0.1897048469
654	0.1893731107
655	0.1890842302
656	0.1889436845
657	0.1887587136
658	0.1883891625
659	0.188086019
660	0.1879251032
661	0.1877910866
662	0.1874497523
663	0.1872192991
664	0.1869135289
665	0.1868180821
666	0.1866811155
