iter	Passed	Remaining
0	39	39906
1	45	22760
2	50	16624
3	55	13737
4	57	11479
5	59	9847
6	62	8892
7	64	8039
8	66	7337
9	71	7109
10	73	6647
11	76	6309
12	79	6008
13	81	5718
14	84	5561
15	87	5355
16	89	5184
17	91	5016
18	94	4859
19	96	4736
20	99	4658
21	102	4544
22	104	4448
23	107	4367
24	109	4269
25	111	4174
26	113	4075
27	118	4117
28	120	4043
29	124	4020
30	128	4014
31	132	3995
32	134	3938
33	136	3872
34	138	3812
35	140	3772
36	143	3723
37	146	3700
38	148	3655
39	150	3608
40	152	3569
41	154	3524
42	156	3476
43	157	3431
44	163	3460
45	164	3419
46	166	3376
47	168	3337
48	169	3297
49	171	3260
50	173	3224
51	176	3226
52	178	3194
53	180	3160
54	182	3130
55	183	3099
56	185	3070
57	187	3042
58	190	3036
59	192	3022
60	194	2997
61	196	2973
62	198	2947
63	199	2924
64	201	2902
65	203	2883
66	209	2913
67	210	2890
68	212	2867
69	214	2846
70	216	2833
71	218	2817
72	221	2812
73	223	2796
74	225	2777
75	226	2759
76	229	2747
77	231	2730
78	232	2714
79	234	2698
80	237	2700
81	239	2683
82	241	2666
83	243	2651
84	244	2635
85	247	2626
86	249	2616
87	253	2630
88	255	2615
89	257	2600
90	259	2587
91	260	2575
92	262	2562
93	266	2568
94	268	2556
95	270	2543
96	271	2529
97	273	2517
98	275	2504
99	276	2490
100	278	2478
101	281	2479
102	283	2467
103	284	2455
104	287	2447
105	288	2437
106	290	2425
107	292	2414
108	296	2422
109	298	2412
110	299	2401
111	301	2392
112	303	2382
113	305	2372
114	307	2362
115	309	2356
116	311	2351
117	313	2342
118	315	2333
119	316	2324
120	318	2315
121	320	2305
122	321	2295
123	324	2294
124	326	2288
125	328	2281
126	330	2272
127	332	2265
128	334	2261
129	336	2253
130	338	2244
131	340	2237
132	342	2231
133	343	2222
134	345	2214
135	347	2206
136	348	2198
137	350	2190
138	353	2192
139	356	2187
140	358	2183
141	359	2169
142	361	2165
143	363	2162
144	365	2156
145	369	2162
146	373	2167
147	375	2161
148	377	2156
149	379	2148
150	380	2141
151	385	2148
152	386	2141
153	388	2132
154	389	2125
155	390	2114
156	392	2107
157	394	2100
158	395	2094
159	400	2103
160	402	2096
161	403	2089
162	405	2083
163	407	2076
164	408	2069
165	410	2062
166	413	2063
167	415	2060
168	417	2051
169	420	2050
170	422	2048
171	424	2042
172	426	2038
173	431	2046
174	432	2041
175	434	2035
176	436	2028
177	437	2019
178	437	2008
179	441	2010
180	447	2026
181	448	2017
182	449	2007
183	450	1999
184	453	1998
185	455	1992
186	456	1983
187	457	1974
188	458	1965
189	461	1969
190	463	1964
191	466	1961
192	468	1959
193	470	1954
194	472	1949
195	476	1954
196	478	1951
197	480	1946
198	482	1942
199	485	1940
200	486	1934
201	487	1926
202	491	1928
203	492	1921
204	493	1913
205	496	1912
206	499	1914
207	504	1922
208	507	1920
209	509	1915
210	510	1908
211	512	1904
212	513	1897
213	515	1892
214	516	1884
215	518	1882
216	519	1875
217	521	1868
218	522	1864
219	523	1857
220	524	1850
221	526	1843
222	526	1836
223	527	1828
224	528	1820
225	529	1814
226	532	1811
227	534	1809
228	535	1801
229	536	1796
230	537	1789
231	538	1783
232	540	1779
233	542	1774
234	543	1770
235	545	1766
236	549	1768
237	550	1763
238	551	1755
239	553	1751
240	555	1748
241	557	1744
242	557	1737
243	558	1731
244	559	1724
245	563	1725
246	564	1722
247	566	1718
248	567	1711
249	569	1707
250	569	1700
251	570	1693
252	571	1687
253	573	1683
254	575	1680
255	577	1677
256	580	1677
257	582	1674
258	583	1669
259	585	1665
260	586	1661
261	588	1657
262	590	1654
263	593	1655
264	595	1651
265	596	1647
266	598	1643
267	600	1639
268	602	1635
269	603	1632
270	608	1636
271	610	1633
272	612	1632
273	615	1630
274	617	1627
275	619	1624
276	624	1629
277	627	1630
278	629	1627
279	632	1625
280	633	1622
281	635	1617
282	638	1618
283	640	1615
284	642	1610
285	644	1608
286	646	1605
287	647	1600
288	649	1598
289	654	1601
290	656	1598
